SL No,Station ID,Station,River,District,Upazila,Latitude,Longitude,First_Date,Last_Date,,,,,,,,,,,,,,,
1,SW1,Bagerhat,Alaipur Khal Daratona,Bagerhat,Bagerhat Sadar,22.6488,89.8037,4-Jan-00,20-Dec-25,,,,,,,,,,,,,,,
2,SW1.5,Mollikerbar,Alaipur Khal Daratona,Bagerhat,Bagerhat Sadar,22.5451,89.7365,4-Jan-00,20-Dec-25,,,,,,,,,,,,,,,
3,SW105,Off take at Atharobanka,Gorai-Madhumati-Haringhata-Baleswar,Bagerhat,Mollahat,22.9654,89.7825,4-Jan-00,20-Dec-25,,,,,,,,,,,,,,,
4,SW244.3,Badra,Rupsa-Pasur,Bagerhat,Mongla,22.2977,89.6032,17-Mar-98,2-Feb-26,,,,,,,,,,,,,,,
5,SW243.2,Bajua,Rupsa-Pasur,Bagerhat,Mongla,22.5258,89.5771,14-Mar-98,2-Feb-26,,,,,,,,,,,,,,,
6,SW244.4,Chal Bogi,Rupsa-Pasur,Bagerhat,Mongla,22.2695,89.5867,17-Mar-98,2-Feb-26,,,,,,,,,,,,,,,
7,SW244.2,Chaud Pai,Rupsa-Pasur,Bagerhat,Mongla,22.3446,89.6301,17-Mar-98,2-Feb-26,,,,,,,,,,,,,,,
8,SW244.14,Confluence of Shibsa,Rupsa-Pasur,Bagerhat,Mongla,21.9693,89.5363,17-Mar-98,3-Feb-26,,,,,,,,,,,,,,,
9,SW244.1,Dhang Mari,Rupsa-Pasur,Bagerhat,Mongla,22.4346,89.5847,17-Mar-98,2-Feb-26,,,,,,,,,,,,,,,
10,SW244.19,Hiron Point Jetty,Rupsa-Pasur,Bagerhat,Mongla,21.818,89.4624,1-Jan-70,3-Feb-26,,,,,,,,,,,,,,,
11,SW244,Mongla,Rupsa-Pasur,Bagerhat,Mongla,22.4807,89.608,4-Jan-00,20-Dec-25,,,,,,,,,,,,,,,
12,SW244.5,Pashur_13,Rupsa-Pasur,Bagerhat,Mongla,22.2341,89.5821,17-Mar-98,2-Feb-26,,,,,,,,,,,,,,,
13,SW244.6,Pashur_14,Rupsa-Pasur,Bagerhat,Mongla,22.2171,89.5637,17-Mar-98,2-Feb-26,,,,,,,,,,,,,,,
14,SW244.7,Pashur_15,Rupsa-Pasur,Bagerhat,Mongla,22.1976,89.5273,17-Mar-98,2-Feb-26,,,,,,,,,,,,,,,
15,SW244.8,Pashur_16,Rupsa-Pasur,Bagerhat,Mongla,22.1702,89.5608,17-Mar-98,2-Feb-26,,,,,,,,,,,,,,,
16,SW244.9,Pashur_17,Rupsa-Pasur,Bagerhat,Mongla,22.1422,89.588,17-Mar-98,2-Feb-26,,,,,,,,,,,,,,,
17,SW244.10,Pashur_18,Rupsa-Pasur,Bagerhat,Mongla,22.1062,89.5913,17-Mar-98,2-Feb-26,,,,,,,,,,,,,,,
18,SW244.11,Pashur_19,Rupsa-Pasur,Bagerhat,Mongla,22.0532,89.575,17-Mar-98,2-Feb-26,,,,,,,,,,,,,,,
19,SW244.12,Pashur_20,Rupsa-Pasur,Bagerhat,Mongla,22.0062,89.5538,17-Mar-98,2-Feb-26,,,,,,,,,,,,,,,
20,SW244.13,Pashur_21,Rupsa-Pasur,Bagerhat,Mongla,21.9842,89.5456,17-Mar-98,2-Feb-26,,,,,,,,,,,,,,,
21,SW244.15,Pashur_23,Rupsa-Pasur,Bagerhat,Mongla,21.9158,89.5344,17-Mar-98,3-Feb-26,,,,,,,,,,,,,,,
22,SW244.16,Pashur_24,Rupsa-Pasur,Bagerhat,Mongla,21.8691,89.5309,17-Mar-98,3-Feb-26,,,,,,,,,,,,,,,
23,SW244.17,Pashur_25,Rupsa-Pasur,Bagerhat,Mongla,21.8212,89.4944,17-Mar-98,3-Feb-26,,,,,,,,,,,,,,,
24,SW244.18,Pashur_26,Rupsa-Pasur,Bagerhat,Mongla,21.8007,89.4721,17-Mar-98,3-Feb-26,,,,,,,,,,,,,,,
25,SW259.10,Shibsa_10,Sibsa,Bagerhat,Mongla,22.0794,89.5163,18-Mar-98,2-Feb-26,,,,,,,,,,,,,,,
26,SW259.11,Shibsa_11,Sibsa,Bagerhat,Mongla,22.0379,89.5118,18-Mar-98,3-Feb-26,,,,,,,,,,,,,,,
27,SW259.12,Shibsa_12,Sibsa,Bagerhat,Mongla,22.0019,89.4949,18-Mar-98,3-Feb-26,,,,,,,,,,,,,,,
28,SW259.3,Shibsa_3,Rupsa-Pasur,Bagerhat,Mongla,22.3083,89.4597,18-Mar-98,3-Feb-26,,,,,,,,,,,,,,,
29,SW259.4,Shibsa_4,Rupsa-Pasur,Bagerhat,Mongla,22.2585,89.4798,18-Mar-98,3-Feb-26,,,,,,,,,,,,,,,
30,SW259.5,Shibsa_5,Rupsa-Pasur,Bagerhat,Mongla,22.2249,89.4731,18-Mar-98,3-Feb-26,,,,,,,,,,,,,,,
31,SW259.6,Shibsa_6,Sibsa,Bagerhat,Mongla,22.1959,89.482,18-Mar-98,3-Feb-26,,,,,,,,,,,,,,,
32,SW259.7,Shibsa_7,Sibsa,Bagerhat,Mongla,22.1707,89.4906,18-Mar-98,3-Feb-26,,,,,,,,,,,,,,,
33,SW259.8,Shibsa_8,Sibsa,Bagerhat,Mongla,22.1542,89.4964,18-Mar-98,3-Feb-26,,,,,,,,,,,,,,,
34,SW259.9,Shibsa_9,Sibsa,Bagerhat,Mongla,22.1065,89.5109,18-Mar-98,3-Feb-26,,,,,,,,,,,,,,,
35,SW1.7,Morrelganj,Gorai-Madhumati-Haringhata-Baleswar,Bagerhat,Morrelganj,22.4517,89.8606,13-Jan-94,20-Dec-25,,,,,,,,,,,,,,,
36,SW107.2,Rayenda,Gorai-Madhumati-Haringhata-Baleswar,Bagerhat,Sarankhola,22.3161,89.8495,28-Feb-94,20-Dec-25,,,,,,,,,,,,,,,
1,SW242,Jalma,Rupsa-Pasur,Khulna,Batiaghata,22.7296,89.52,16-Mar-98,4-Feb-26,,,,,,,,,,,,,,,
2,SW242.1,Buzbunia Kheya Ghat,Rupsa-Pasur,Khulna,Dacope,22.7154,89.5295,16-Mar-98,4-Feb-26,,,,,,,,,,,,,,,
3,SW243,Chalna,Rupsa-Pasur,Khulna,Dacope,22.6003,89.522,14-Mar-98,4-Feb-26,,,,,,,,,,,,,,,
4,SW242.3,Jhop Jhopia,Rupsa-Pasur,Khulna,Dacope,22.6238,89.5206,16-Mar-98,4-Feb-26,,,,,,,,,,,,,,,
5,SW242.2,Kaitedanga Kheya Ghat,Rupsa-Pasur,Khulna,Dacope,22.6665,89.5307,16-Mar-98,4-Feb-26,,,,,,,,,,,,,,,
6,SW244L,Mongla Left,Rupsa-Pasur,Khulna,Dacope,22.4687,89.5901,17-Mar-98,2-Feb-26,,,,,,,,,,,,,,,
7,SW259,Nalianala_Hadda,Sibsa,Khulna,Dacope,22.4608,89.4353,18-Mar-98,4-Feb-26,,,,,,,,,,,,,,,
8,SW243.1,Pashur_5,Rupsa-Pasur,Khulna,Dacope,22.5673,89.5607,14-Mar-98,2-Feb-26,,,,,,,,,,,,,,,
9,SW28,Dumuria,Bhadra,Khulna,Dumuria,22.6468,89.4287,7-Nov-80,20-Dec-25,,,,,,,,,,,,,,,
10,SW241,Khulna,Rupsa-Pasur,Khulna,Khulna Sadar,22.8176,89.569,19-Nov-68,4-Feb-26,,,,,,,,,,,,,,,
11,SW241.3,Luban Chora,Rupsa-Pasur,Khulna,Khulna Sadar,22.7657,89.5803,16-Mar-98,4-Feb-26,,,,,,,,,,,,,,,
12,SW244R,Mongla Right,Rupsa-Pasur,Khulna,Khulna Sadar,22.4636,89.585,17-Mar-98,2-Feb-26,,,,,,,,,,,,,,,
13,SW241.2,Rupsa Bridge,Rupsa-Pasur,Khulna,Khulna Sadar,22.7716,89.5827,26-Jan-16,4-Feb-26,,,,,,,,,,,,,,,
14,SW241.1,Rupsa Ferry Ghat,Rupsa-Pasur,Khulna,Khulna Sadar,22.7861,89.5824,1-Jan-70,4-Feb-26,,,,,,,,,,,,,,,
15,SW164,Chandkhali,Kobadak,Khulna,Paikgachha,22.4927,89.2567,22-Nov-76,27-Mar-80,,,,,,,,,,,,,,,
16,SW258,Paikgacha,Sibsa,Khulna,Paikgachha,22.5821,89.3043,4-Jan-00,20-Dec-25,,,,,,,,,,,,,,,
1,SW22.4,Jogikhali,Kobadak,Satkhira,Kalaroa,22.9257,89.0927,4-Jan-00,20-Dec-25,Missing Data Years,,,,,,,,,,,,,,
2,SW23,Kalaroa,Betna-Kholpetua,Satkhira,Kalaroa,22.888,89.0412,4-Jan-00,20-Dec-25,Missing Data Years,,,,,,,,,,,,,,
3,SW243.4,Badbuir Bazar,Sibsa,Satkhira,Satkhira Sadar,22.5619,89.459,18-Mar-98,4-Feb-26,Missing Data Years,,,,,,,,,,,,,,
4,SW24,Benarpota,Betna-Kholpetua,Satkhira,Satkhira Sadar,22.7529,89.1012,7-Nov-80,20-Dec-25,Missing Data Years,,,,,,,,,,,,,,
5,SW243.3,Dacob,Sibsa,Satkhira,Satkhira Sadar,22.5694,89.4973,18-Mar-98,4-Feb-26,Missing Data Years,,,,,,,,,,,,,,
6,SW254.5,Elarchar,Satkhira Khal,Satkhira,Satkhira Sadar,22.5634,89.1426,4-Jan-00,20-Dec-25,Missing Data Years,,,,,,,,,,,,,,
7,SW259.1,Hadda Khal,Sibsa,Satkhira,Satkhira Sadar,22.4396,89.4299,18-Mar-98,4-Feb-26,Missing Data Years,,,,,,,,,,,,,,
8,SW259.2,Kala Bogi,Sibsa,Satkhira,Satkhira Sadar,22.3709,89.4406,18-Mar-98,3-Feb-26,Missing Data Years,,,,,,,,,,,,,,
9,SW243.5,Kalibari Lanch Ghat,Sibsa,Satkhira,Satkhira Sadar,22.4866,89.4289,18-Mar-98,4-Feb-26,Missing Data Years,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,100
